Car no.,Exp. Name,Exp. Date,Manufacturer,Model,Number plate
1,1308-01,13.08.2019,fiat,panda,DC177NV
2,1408-01,14.08.2019,fiat,panda,DD851BW
3,1608-01,16.08.2019,mitsubishi,colt cz3,DA218TG
4,1908-01,19.08.2019,volkswagen,polo,CG796GT
5,2008-01,20.08.2019,fiat,punto,CG878RN
6,2008-02,20.08.2019,škoda,octavia,CASWE19
7,2108-01,21.08.2019,fiat,doblo,DC118NV
8,2108-01,21.08.2019,fiat,panda,DC191NV
9,2208-01,22.08.2019,fiat,tipo,FM916WG
10,2208-02,22.08.2019,mazda,mazda3 skyactivg,MEMZ302
11,2608-01,26.08.2019,fiat,panda,DC148NV
12,3008-01,30.08.2019,fiat,panda,DC192NV
