name,latitude,longitude
OP03,45°48.7120',8°37.7010'
B03,45°48.7130',8°37.7150'
RF03,45°48.7140',8°37.7590'
RF04,45°48.7100',8°37.8560'
RF05,45°48.6890',8°37.9160'
RF06,45°48.6780',8°37.9350'
RF07,45°48.6510',8°38.0200'
OP04,45°48.6210',8°38.0820'
OP05,45°48.6160',8°38.0740'
RF08,45°48.5900',8°38.0280'
RF09,45°48.5820',8°38.0140'
RF10,45°48.5440',8°37.9670'
B04,45°48.5330',8°37.9560'
RF11,45°48.5270',8°37.9530'
RF12,45°48.5170',8°37.9420'
OP06,45°48.5210',8°37.9320'
RF13,45°48.5710',8°37.7600'
RF14,45°48.5730',8°37.7520'
RF15,45°48.5660',8°37.6890'
RF16,45°48.5680',8°37.6310'
RF17,45°48.5640',8°37.4990'
OP07,45°48.5600',8°37.4880'
RF18,45°48.5730',8°37.4750'
RF19,45°48.6070',8°37.4720'
RF20,45°48.6620',8°37.4660'
RF21,45°48.6840',8°37.4660'
